rob,.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
0.2,60,100,0.1,0.4,0.1,1,9,9,0.23385416666666667
0.2,60,100,0.1,0.5,0.1,2,9,7,0.23958333333333331
0.3,60,100,0.1,0.55,0.1,1,5,9,0.25757575757575757
0.3,60,100,0.1,0.35,0.1,3,5,5,0.27395833333333336
0.3,60,100,0.1,0.3,0.1,1,5,8,0.2777777777777778
0.3,60,100,0.1,0.3,0.1,1,5,10,0.28125
0.3,60,100,0.1,0.35,0.1,1,7,10,0.2907801418439716
0.3,60,100,0.1,0.45,0.1,1,7,9,0.31333333333333335
0.3,60,100,0.15000000000000002,0.55,0.1,1,5,7,0.3148148148148148
0.3,60,100,0.1,0.3,0.1,2,10,9,0.3365384615384615
0.3,60,100,0.1,0.6,0.1,1,5,6,0.34019607843137256
0.4,60,100,0.1,0.35,0.1,1,9,10,0.3814102564102564
0.4,60,100,0.1,0.55,0.1,1,6,8,0.38636363636363635
0.4,60,100,0.1,0.6,0.1,1,6,6,0.4024509803921569
0.4,60,100,0.1,0.35,0.1,1,7,5,0.4090909090909091
0.4,60,100,0.1,0.35,0.1,3,7,7,0.4112193362193362
0.4,60,100,0.1,0.5,0.1,2,7,10,0.4215686274509804
0.4,60,100,0.1,0.45,0.1,2,8,6,0.42742857142857144
0.4,60,100,0.1,0.4,0.1,3,5,9,0.42766830870279143
0.4,60,100,0.1,0.3,0.1,2,7,10,0.4303968253968254
0.4,60,100,0.1,0.4,0.1,2,5,7,0.43160919540229886
0.4,60,100,0.1,0.45,0.1,2,10,8,0.4409920634920635
0.4,60,100,0.1,0.6,0.1,1,10,9,0.4463276836158192
0.5,60,100,0.15000000000000002,0.4,0.1,1,6,7,0.46153846153846156
0.5,60,100,0.1,0.45,0.1,2,6,10,0.4673611111111111
0.5,60,100,0.1,0.35,0.1,3,8,6,0.4689922480620155
0.5,60,100,0.1,0.4,0.1,1,6,10,0.4738562091503268
0.5,60,100,0.1,0.4,0.1,2,10,7,0.486408939897312
0.5,60,100,0.1,0.6,0.1,3,10,5,0.4925234487734488
0.5,60,100,0.15000000000000002,0.55,0.1,2,7,6,0.5035303776683087
0.5,60,100,0.1,0.55,0.1,1,9,10,0.5069444444444444
0.5,60,100,0.1,0.55,0.1,2,10,5,0.521264367816092
0.5,60,100,0.1,0.4,0.1,2,10,8,0.5219444444444444
0.5,60,100,0.1,0.55,0.1,2,6,6,0.5256410256410257
0.5,60,100,0.1,0.3,0.1,1,8,8,0.5285714285714286
0.5,60,100,0.1,0.3,0.1,3,9,7,0.5288150635372858
0.5,60,100,0.1,0.35,0.1,1,10,8,0.5314750290360046
0.5,60,100,0.1,0.55,0.1,3,8,5,0.5327160493827161
0.5,60,100,0.1,0.55,0.1,2,6,9,0.5341269841269841
0.5,60,100,0.1,0.55,0.1,1,9,7,0.5365853658536586
0.6,60,100,0.1,0.55,0.1,1,8,5,0.55
0.6,60,100,0.1,0.55,0.1,2,8,10,0.56494708994709
0.6,60,100,0.1,0.5,0.1,2,5,6,0.5654761904761905
0.6,60,100,0.15000000000000002,0.3,0.1,2,8,5,0.5666666666666667
0.6,60,100,0.1,0.5,0.1,2,6,9,0.5678747093242892
0.6,60,100,0.15000000000000002,0.35,0.1,2,6,8,0.575
0.6,60,100,0.1,0.55,0.1,2,6,5,0.578125
0.6,60,100,0.1,0.6,0.1,3,5,9,0.586576354679803
0.6,60,100,0.1,0.5,0.1,1,10,10,0.5972222222222222
0.6,60,100,0.1,0.6,0.1,2,8,9,0.6167460317460317
0.6,60,100,0.2,0.4,0.1,1,8,9,0.6190476190476191
0.6,60,100,0.1,0.6,0.1,2,10,5,0.6229384436701509
0.6,60,100,0.15000000000000002,0.5,0.1,2,7,5,0.6472763347763347
0.7,60,100,0.1,0.5,0.1,1,5,6,0.6547619047619048
0.7,60,100,0.1,0.3,0.1,2,9,6,0.6596296296296297
0.7,60,100,0.1,0.4,0.1,2,9,8,0.665452847805789
0.7,60,100,0.1,0.5,0.1,2,9,5,0.6735119047619048
0.7,60,100,0.1,0.55,0.1,3,10,5,0.6750700280112044
0.7,60,100,0.1,0.4,0.1,3,6,8,0.6797536352536353
0.7,60,100,0.1,0.5,0.1,1,7,6,0.6886111111111111
0.7,60,100,0.1,0.45,0.1,1,8,10,0.6915476190476191
0.7,60,100,0.1,0.3,0.1,2,8,10,0.6975103137603138
0.7,60,100,0.1,0.45,0.1,1,8,7,0.7083333333333334
0.7,60,100,0.1,0.45,0.1,1,7,7,0.7146464646464646
0.7,60,100,0.1,0.6,0.1,3,9,6,0.7149897240806332
0.7,60,100,0.15000000000000002,0.45,0.1,2,7,10,0.7195939294623506
0.7,60,100,0.1,0.55,0.1,2,5,5,0.7277777777777777
0.7,60,100,0.1,0.35,0.1,3,7,10,0.7304486916974017
0.7,60,100,0.1,0.4,0.1,2,9,9,0.7355838143338144
0.7,60,100,0.1,0.55,0.1,1,7,6,0.737037037037037
0.7,60,100,0.1,0.3,0.1,3,10,7,0.7386376123876124
0.7,60,100,0.1,0.4,0.1,2,7,5,0.7456140350877193
0.7,60,100,0.15000000000000002,0.55,0.1,2,5,8,0.7491228070175439
0.8,60,100,0.15000000000000002,0.6,0.1,2,7,8,0.7514285714285714
0.8,60,100,0.1,0.5,0.1,1,9,10,0.7572619047619048
0.8,60,100,0.1,0.3,0.1,3,8,10,0.7622943722943722
0.8,60,100,0.1,0.3,0.1,3,7,9,0.7624338624338625
0.8,60,100,0.1,0.5,0.1,3,6,8,0.7687560125060126
0.8,60,100,0.1,0.3,0.1,1,10,10,0.7700992063492064
0.8,60,100,0.1,0.4,0.1,3,7,9,0.7736190476190477
0.8,60,100,0.1,0.55,0.1,1,5,5,0.7805555555555556
0.8,60,100,0.1,0.4,0.1,2,7,10,0.7814407814407814
0.8,60,100,0.1,0.45,0.1,1,5,10,0.7944444444444444
0.8,60,100,0.1,0.5,0.1,1,5,10,0.8052777777777778
0.8,60,100,0.1,0.35,0.1,2,6,5,0.8067375886524822
0.8,60,100,0.1,0.5,0.1,3,7,10,0.8069579578073492
0.8,60,100,0.1,0.3,0.1,1,10,5,0.8107843137254902
0.8,60,100,0.1,0.6,0.1,1,7,9,0.8137254901960784
0.8,60,100,0.1,0.3,0.1,3,6,9,0.8139047619047619
0.8,60,100,0.1,0.6,0.1,3,10,9,0.8181008075744918
0.8,60,100,0.1,0.4,0.1,1,5,10,0.821875
0.8,60,100,0.1,0.5,0.1,3,6,6,0.8252655122655123
0.8,60,100,0.15000000000000002,0.35,0.1,3,7,6,0.8258210180623974
0.8,60,100,0.1,0.55,0.1,1,5,10,0.8276531339031339
0.8,60,100,0.1,0.3,0.1,2,5,5,0.8333333333333334
0.8,60,100,0.1,0.3,0.1,3,7,7,0.8428571428571429
0.8,60,100,0.1,0.4,0.1,3,10,10,0.8435517078667233
0.8,60,100,0.1,0.3,0.1,1,6,8,0.8462301587301587
0.9,60,100,0.1,0.35,0.1,3,8,10,0.8506023860900022
0.9,60,100,0.1,0.55,0.1,3,5,9,0.8508803418803419
0.9,60,100,0.1,0.6,0.1,2,10,9,0.856547619047619
0.9,60,100,0.2,0.35,0.1,1,7,5,0.8571428571428571
0.9,60,100,0.1,0.6,0.1,2,6,9,0.8637352359574582
0.9,60,100,0.1,0.45,0.1,3,5,10,0.8683595250902943
0.9,60,100,0.1,0.45,0.1,3,10,6,0.8695135975135975
0.9,60,100,0.1,0.55,0.1,3,6,8,0.8726341487969395
0.9,60,100,0.15000000000000002,0.4,0.1,3,8,6,0.8761904761904762
0.9,60,100,0.1,0.5,0.1,3,7,7,0.8802044252044252
0.9,60,100,0.1,0.3,0.1,2,5,8,0.8813218390804598
0.9,60,100,0.1,0.5,0.1,3,9,9,0.8814314473405382
0.9,60,100,0.1,0.45,0.1,3,5,9,0.8826719576719576
0.9,60,100,0.1,0.5,0.1,1,8,8,0.8867521367521367
0.9,60,100,0.1,0.55,0.1,2,9,6,0.8875
0.9,60,100,0.1,0.35,0.1,2,7,7,0.888095238095238
0.9,60,100,0.1,0.45,0.1,2,10,7,0.8891468253968254
0.9,60,100,0.1,0.3,0.1,3,9,5,0.8934738338584493
