.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
60,100,0.25,0.35,0.1,2,7,8,3.1089369682060997
60,100,0.1,0.5,0.1,1,10,10,0.5972222222222222
60,100,0.2,0.6,0.1,2,7,9,2.22825583488459
60,100,0.3,0.5,0.1,1,10,8,5.548769235594732
60,100,0.15000000000000002,0.5,0.1,3,8,7,1.453217117142533
60,100,0.25,0.5,0.1,2,7,10,3.8388885609673897
60,100,0.1,0.6,0.1,1,7,9,0.8137254901960784
60,100,0.1,0.55,0.1,3,9,9,0.9952605958855959
60,100,0.2,0.3,0.1,2,9,7,3.211593958952086
60,100,0.3,0.4,0.1,3,7,10,5.9383719841029645
60,100,0.3,0.35,0.1,2,5,5,4.523474307302925
60,100,0.25,0.5,0.1,1,10,6,3.139113594526697
60,100,0.15000000000000002,0.35,0.1,2,7,9,1.648024319245908
60,100,0.3,0.55,0.1,3,9,7,5.3867334167956304
60,100,0.1,0.6,0.1,3,5,5,0.9114468864468864
60,100,0.25,0.5,0.1,2,10,8,3.1242863276485267
60,100,0.15000000000000002,0.55,0.1,3,5,5,2.080609943977014
60,100,0.1,0.5,0.1,2,5,7,1.0462317252639832
60,100,0.2,0.35,0.1,1,6,8,3.0107292185982475
60,100,0.3,0.5,0.1,2,5,6,3.7034945194961852
60,100,0.3,0.35,0.1,2,10,6,4.3839202443525
60,100,0.15000000000000002,0.5,0.1,3,6,9,1.6694300635726502
60,100,0.1,0.6,0.1,1,10,8,0.9000276854928018
60,100,0.2,0.35,0.1,1,5,7,2.26726442439481
60,100,0.15000000000000002,0.4,0.1,2,6,7,1.9182869545394647
60,100,0.25,0.4,0.1,1,5,8,4.146688806448888
60,100,0.25,0.35,0.1,2,8,7,3.67091492899038
60,100,0.3,0.5,0.1,1,8,7,6.2903940569302526
60,100,0.2,0.4,0.1,2,8,7,2.1906295102382725
60,100,0.3,0.35,0.1,2,8,8,5.450816099508592
60,100,0.1,0.35,0.1,3,6,5,1.0621489621489622
60,100,0.15000000000000002,0.3,0.1,3,10,7,2.1529145381509855
60,100,0.15000000000000002,0.4,0.1,2,8,6,1.5466463284761112
60,100,0.25,0.35,0.1,1,7,7,3.542958063996225
60,100,0.2,0.5,0.1,1,8,6,2.634134781441273
60,100,0.15000000000000002,0.6,0.1,2,6,8,1.8608332527687366
60,100,0.15000000000000002,0.4,0.1,1,6,10,0
60,100,0.15000000000000002,0.45,0.1,2,9,6,1.9041265531335045
60,100,0.3,0.4,0.1,1,9,5,5.608064425670439
60,100,0.1,0.45,0.1,1,10,10,1.3627380952380952
60,100,0.1,0.4,0.1,2,9,9,0.7355838143338144
60,100,0.3,0.3,0.1,3,10,6,4.609282243144336
60,100,0.1,0.6,0.1,3,10,9,0.8181008075744918
60,100,0.15000000000000002,0.4,0.1,2,10,7,1.591746406032847
60,100,0.25,0.3,0.1,2,6,10,3.542907679201087
60,100,0.1,0.4,0.1,2,9,8,0.665452847805789
60,100,0.15000000000000002,0.3,0.1,2,6,9,1.6662720057720057
60,100,0.2,0.35,0.1,3,8,7,2.204958503245034
60,100,0.25,0.6,0.1,2,9,7,3.477072272488078
60,100,0.15000000000000002,0.35,0.1,2,6,7,2.528938055625699
60,100,0.25,0.5,0.1,1,9,6,3.039048927397652
60,100,0.25,0.4,0.1,3,7,9,3.4592733200548627
60,100,0.3,0.55,0.1,2,6,9,4.581261399476996
60,100,0.15000000000000002,0.45,0.1,2,5,5,1.5836340130457778
60,100,0.15000000000000002,0.35,0.1,3,9,5,1.5715295164131504
60,100,0.25,0.45,0.1,3,10,5,2.88607272564972
60,100,0.25,0.6,0.1,2,9,5,4.235305846919433
60,100,0.1,0.3,0.1,1,6,8,0.8462301587301587
60,100,0.2,0.5,0.1,1,6,7,2.5822858950170025
60,100,0.25,0.3,0.1,1,10,8,2.411924475310723
60,100,0.15000000000000002,0.6,0.1,1,10,5,2.314097027699969
60,100,0.1,0.3,0.1,2,9,6,0.6596296296296297
60,100,0.3,0.6,0.1,1,9,7,4.857827612321621
60,100,0.2,0.35,0.1,3,5,5,2.6798903991220677
60,100,0.25,0.5,0.1,3,6,8,3.5070989992599126
60,100,0.1,0.55,0.1,2,6,9,0.5341269841269841
60,100,0.25,0.45,0.1,3,9,6,3.323660363014533
60,100,0.2,0.55,0.1,1,9,8,2.2067157182289545
60,100,0.1,0.35,0.1,3,5,5,0.27395833333333336
60,100,0.2,0.3,0.1,3,8,9,3.1547833606901476
60,100,0.25,0.45,0.1,1,6,7,3.725339441374387
60,100,0.1,0.4,0.1,1,5,6,0
60,100,0.15000000000000002,0.45,0.1,2,7,7,1.6539459726070465
60,100,0.3,0.6,0.1,1,5,7,5.2871993372324635
60,100,0.15000000000000002,0.6,0.1,3,6,5,1.2583666333666335
60,100,0.2,0.4,0.1,2,10,9,2.750885949064139
60,100,0.3,0.3,0.1,3,5,8,5.383412668914487
60,100,0.1,0.55,0.1,1,9,7,0.5365853658536586
60,100,0.3,0.5,0.1,2,8,5,5.245027537237306
60,100,0.15000000000000002,0.6,0.1,2,5,10,1.9497202955957824
60,100,0.1,0.4,0.1,2,10,8,0.5219444444444444
60,100,0.15000000000000002,0.35,0.1,2,6,5,1.9624291474130358
60,100,0.25,0.5,0.1,1,9,5,3.0515875591332664
60,100,0.2,0.35,0.1,1,7,6,2.1075065878465886
60,100,0.25,0.4,0.1,1,10,9,3.476027647121909
60,100,0.2,0.45,0.1,2,7,5,2.9052844111970173
60,100,0.15000000000000002,0.35,0.1,3,6,6,1.9562112306076838
60,100,0.1,0.3,0.1,2,6,10,0.9249871991807476
60,100,0.25,0.3,0.1,2,7,8,3.384916335586425
60,100,0.2,0.6,0.1,2,9,9,2.17511798580659
60,100,0.15000000000000002,0.3,0.1,1,8,6,0
60,100,0.1,0.4,0.1,2,7,9,1.1382708032708033
60,100,0.25,0.4,0.1,1,5,7,3.6393919869753986
60,100,0.15000000000000002,0.3,0.1,3,9,6,1.1950036061285354
60,100,0.3,0.3,0.1,1,5,10,4.806271182683101
60,100,0.3,0.4,0.1,1,8,8,1
60,100,0.15000000000000002,0.6,0.1,2,5,9,2.030177868021959
60,100,0.3,0.55,0.1,1,6,7,5.416376521744533
60,100,0.15000000000000002,0.35,0.1,3,7,7,1.5883655752341814
60,100,0.15000000000000002,0.55,0.1,2,8,10,1.6561762181774566
60,100,0.1,0.5,0.1,3,6,8,0.7687560125060126
60,100,0.3,0.5,0.1,2,10,6,5.284268938529184
60,100,0.1,0.35,0.1,1,5,6,1.0833333333333333
60,100,0.25,0.5,0.1,1,5,9,4.642446451091557
60,100,0.25,0.6,0.1,2,8,10,3.9659470997474826
60,100,0.25,0.55,0.1,1,10,6,3.353129997938234
60,100,0.15000000000000002,0.6,0.1,2,7,6,1.774755085681339
60,100,0.15000000000000002,0.5,0.1,2,6,7,1.8297603982642345
60,100,0.25,0.4,0.1,3,10,10,3.2767272401000214
60,100,0.3,0.5,0.1,1,9,7,5.411199058456432
60,100,0.1,0.4,0.1,2,7,5,0.7456140350877193
60,100,0.1,0.35,0.1,3,8,6,0.4689922480620155
60,100,0.2,0.4,0.1,1,5,10,0
60,100,0.2,0.5,0.1,2,5,8,2.6075870064190787
60,100,0.15000000000000002,0.4,0.1,3,7,9,1.998519012882757
60,100,0.2,0.55,0.1,2,8,10,2.8111776001948026
60,100,0.2,0.45,0.1,3,5,6,2.2659507556990905
60,100,0.25,0.45,0.1,3,5,10,4.290064367828622
60,100,0.15000000000000002,0.45,0.1,3,10,7,1.650320932072026
60,100,0.15000000000000002,0.5,0.1,2,7,5,0.6472763347763347
60,100,0.3,0.5,0.1,3,10,9,5.886666289117132
60,100,0.25,0.6,0.1,2,6,5,4.52434712918083
60,100,0.15000000000000002,0.6,0.1,2,9,5,1.5351457929044137
60,100,0.3,0.4,0.1,1,7,8,5.419153721917965
60,100,0.2,0.35,0.1,1,10,9,2.459364840938117
60,100,0.2,0.5,0.1,1,8,7,2.912537448831363
60,100,0.25,0.5,0.1,1,9,9,3.4980480381227985
60,100,0.2,0.35,0.1,3,8,5,3.107875417887809
60,100,0.2,0.6,0.1,2,9,5,2.6058701055935467
60,100,0.2,0.6,0.1,1,7,8,2.078410524558601
60,100,0.25,0.3,0.1,3,8,10,3.252296118174198
60,100,0.3,0.6,0.1,3,7,6,5.224610010510507
60,100,0.25,0.3,0.1,1,7,7,3.0670807795588595
60,100,0.15000000000000002,0.3,0.1,2,7,6,2.0629254084916555
60,100,0.1,0.6,0.1,2,9,9,1.017437855645403
60,100,0.2,0.6,0.1,1,8,9,2.161813542341084
60,100,0.1,0.55,0.1,1,6,8,0.38636363636363635
